Year,Cluster,Clinker Production (Kg/ year)_mean,Clinker Production (Kg/ year)_median,PM2.5_mean,PM2.5_median,NO2_mean,NO2_median
2018,-1,917679.012345679,917679.012345679,5563.30000000001,5563.30000000001,5373.3,5373.3
2018,0,3373.3903632416313,0.0,22.70813648293963,22.8,26.903937007874013,24.4
2018,1,929669.8902606309,859000.6172839506,22.866666666666667,23.1,24.744444444444444,24.700000000000003
2019,-1,887502.4691358025,887502.4691358025,4761.9,4761.9,4907.000000000002,4907.000000000002
2019,0,46389.53866146848,0.0,18.716791979949875,19.0,24.483208020050125,22.2
2020,-1,1144944.8559670781,1555527.160493827,2905.733333333335,19.6,2859.1333333333296,21.0
2020,0,32985.15705578996,0.0,16.646075949367088,16.8,21.386835443037974,19.6
2020,1,1326467.489711934,1322074.074074074,16.8,17.0,18.8,19.8
2021,-1,1179903.29218107,1551509.87654321,2917.6666666666656,21.2,2741.7333333333313,20.2
2021,0,43419.278491221536,0.0,16.71356783919598,17.0,20.491457286432162,19.0
2022,-1,942456.172839506,942456.172839506,4439.100000000002,4439.100000000002,3926.0999999999995,3926.0999999999995
2022,0,42804.22352176737,0.0,17.09624060150376,17.0,19.587468671679197,18.0
