epsilon,objective_type,system_cost_billion,social_acceptance_index,co2_emissions_mt,total_heat_generation_twh,cap_air_hp_Metropolitan_mw,cap_air_hp_Suburban_mw,cap_air_hp_Rural-Dense_mw,cap_air_hp_Rural-Sparse_mw,cap_air_hp_Industrial_mw,cap_air_hp_gw,cap_dh_large_hp_Metropolitan_mw,cap_dh_large_hp_Suburban_mw,cap_dh_large_hp_Rural-Dense_mw,cap_dh_large_hp_Rural-Sparse_mw,cap_dh_large_hp_Industrial_mw,cap_dh_large_hp_gw,cap_gas_boiler_Metropolitan_mw,cap_gas_boiler_Suburban_mw,cap_gas_boiler_Rural-Dense_mw,cap_gas_boiler_Rural-Sparse_mw,cap_gas_boiler_Industrial_mw,cap_gas_boiler_gw,cap_h2_boiler_Metropolitan_mw,cap_h2_boiler_Suburban_mw,cap_h2_boiler_Rural-Dense_mw,cap_h2_boiler_Rural-Sparse_mw,cap_h2_boiler_Industrial_mw,cap_h2_boiler_gw,cap_biomass_boiler_Metropolitan_mw,cap_biomass_boiler_Suburban_mw,cap_biomass_boiler_Rural-Dense_mw,cap_biomass_boiler_Rural-Sparse_mw,cap_biomass_boiler_Industrial_mw,cap_biomass_boiler_gw,cap_tes_Metropolitan_mwh,cap_tes_Suburban_mwh,cap_tes_Rural-Dense_mwh,cap_tes_Rural-Sparse_mwh,cap_tes_Industrial_mwh,cap_tes_gwh,gen_air_hp_Metropolitan_twh,gen_air_hp_Suburban_twh,gen_air_hp_Rural-Dense_twh,gen_air_hp_Rural-Sparse_twh,gen_air_hp_Industrial_twh,gen_air_hp_twh,gen_dh_large_hp_Metropolitan_twh,gen_dh_large_hp_Suburban_twh,gen_dh_large_hp_Rural-Dense_twh,gen_dh_large_hp_Rural-Sparse_twh,gen_dh_large_hp_Industrial_twh,gen_dh_large_hp_twh,gen_gas_boiler_Metropolitan_twh,gen_gas_boiler_Suburban_twh,gen_gas_boiler_Rural-Dense_twh,gen_gas_boiler_Rural-Sparse_twh,gen_gas_boiler_Industrial_twh,gen_gas_boiler_twh,gen_h2_boiler_Metropolitan_twh,gen_h2_boiler_Suburban_twh,gen_h2_boiler_Rural-Dense_twh,gen_h2_boiler_Rural-Sparse_twh,gen_h2_boiler_Industrial_twh,gen_h2_boiler_twh,gen_biomass_boiler_Metropolitan_twh,gen_biomass_boiler_Suburban_twh,gen_biomass_boiler_Rural-Dense_twh,gen_biomass_boiler_Rural-Sparse_twh,gen_biomass_boiler_Industrial_twh,gen_biomass_boiler_twh,co2_direct_Metropolitan_mt,co2_direct_Suburban_mt,co2_direct_Rural-Dense_mt,co2_direct_Rural-Sparse_mt,co2_direct_Industrial_mt,cost_Metropolitan_billion,cost_Suburban_billion,cost_Rural-Dense_billion,cost_Rural-Sparse_billion,cost_Industrial_billion,acceptance_mode
0.0,cost_optimal_exogenous,25.275739005070456,42.83216149473096,0.0,451.88999426760194,11097.804990333225,2783.77120032453,17170.573346526417,8917.707586506494,6255.421096227869,46.225278219918536,10485.44401404934,757.1736372652908,0.0,0.0,0.0,11.24261765131463,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,342.283662483458,-0.0,-0.0,-0.0,0.3422836624834579,69407.2893378732,13767.67983475309,55217.03206581829,28677.513314215204,20116.14756740115,187.18566212006093,97.2167717153191,24.38583571484292,134.1177416997899,69.65537949746388,48.860508841251296,374.2362374686671,71.41658546148813,5.118774223008079,0.0,0.0,0.0,76.5353596844962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1183971144386484,0.0,0.0,0.0,1.1183971144386484,0.0,0.0,0.0,0.0,0.0,187.91356923694656,37.27461174133556,149.49543721749663,77.64193819959253,54.46276562158702,exogenous
0.0,cost_optimal,25.271253155693376,42.86364168134232,0.0,451.9022905434313,11097.804990333225,2783.77120032453,17170.573346526417,8917.707586506494,6255.421096227869,46.225278219918536,10485.44401404934,795.3500731265553,0.0,0.0,0.0,11.280794087175892,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,286.55630610958724,-0.0,-0.0,-0.0,0.2865563061095872,69407.2893378732,14568.550939093328,55217.03206581829,28677.513314215204,20116.14756740115,187.98653322440117,97.2167717153191,24.38583571484292,134.1177416997899,69.65537949746388,48.860508841251296,374.2362374686671,71.41658546148813,5.378161769787937,0.0,0.0,0.0,76.79474723127606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8713058434881659,0.0,0.0,0.0,0.8713058434881659,0.0,0.0,0.0,0.0,0.0,187.91356923694656,39.44278550116365,149.49543721749663,77.64193819959253,54.46276562158702,endogenous
0.05,max_acceptance,25.272283232708673,42.857119930248615,0.0,451.8998354760197,11097.804990333225,2783.77120032453,17170.573346526417,8917.707586506494,6256.0538321243575,46.225910955815024,10485.44401404934,786.7440398918733,0.0,0.0,0.0,11.27218805394121,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,298.5889541534684,-0.0,-0.0,-0.0,0.2985889541534683,69407.2893378732,14412.190092696675,55217.03206581829,28677.513314215204,20092.357571593824,187.8063823821972,97.2167717153191,24.38583571484292,134.1177416997899,69.65537949746388,48.86020710620623,374.235935733622,71.41658546148813,5.321620131436083,0.0,0.0,0.0,76.7382055929242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.925694149473463,0.0,0.0,0.0,0.925694149473463,0.0,0.0,0.0,0.0,0.0,187.91356923694656,39.01947472914839,149.49543721749663,77.64193819959253,54.39835956884556,endogenous
0.05,min_acceptance,25.272283232708673,42.857119930248615,0.0,451.8998354760197,11097.804990333225,2783.77120032453,17170.573346526417,8917.707586506494,6256.0538321243575,46.225910955815024,10485.44401404934,786.7440398918733,0.0,0.0,0.0,11.27218805394121,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,298.5889541534684,-0.0,-0.0,-0.0,0.2985889541534683,69407.2893378732,14412.190092696675,55217.03206581829,28677.513314215204,20092.357571593824,187.8063823821972,97.2167717153191,24.38583571484292,134.1177416997899,69.65537949746388,48.86020710620623,374.235935733622,71.41658546148813,5.321620131436083,0.0,0.0,0.0,76.7382055929242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.925694149473463,0.0,0.0,0.0,0.925694149473463,0.0,0.0,0.0,0.0,0.0,187.91356923694656,39.01947472914839,149.49543721749663,77.64193819959253,54.39835956884556,endogenous
0.1,max_acceptance,25.27241956180119,42.87943432867287,0.0,451.8881407479221,11097.804990333225,2783.77120032453,17170.573346526417,8921.113654908075,6276.012379139011,46.24927557123126,10487.627159867634,786.7440398918731,0.0,0.0,0.0,11.274371199759504,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,298.5889541534687,-0.0,-0.0,-0.0,0.2985889541534687,69325.20607034824,14412.19009269666,55217.03206581829,28549.44984659344,19341.94376950892,186.8458218449656,97.2167717153191,24.38583571484292,134.1177416997899,69.653791740724,48.851126674762256,374.22526754543816,71.41555892157434,5.321620131436079,0.0,0.0,0.0,76.73717905301042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9256941494734632,0.0,0.0,0.0,0.9256941494734632,0.0,0.0,0.0,0.0,0.0,187.69134716294337,39.01947472914836,149.49543721749663,77.29523522066133,52.366783317621255,endogenous
0.1,min_acceptance,25.27241956180119,42.87943432867287,0.0,451.8881407479221,11097.804990333225,2783.77120032453,17170.573346526417,8921.113654908075,6276.012379139011,46.24927557123126,10487.627159867634,786.7440398918731,0.0,0.0,0.0,11.274371199759504,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,298.5889541534687,-0.0,-0.0,-0.0,0.2985889541534687,69325.20607034824,14412.19009269666,55217.03206581829,28549.44984659344,19341.94376950892,186.8458218449656,97.2167717153191,24.38583571484292,134.1177416997899,69.653791740724,48.851126674762256,374.22526754543816,71.41555892157434,5.321620131436079,0.0,0.0,0.0,76.73717905301042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9256941494734632,0.0,0.0,0.0,0.9256941494734632,0.0,0.0,0.0,0.0,0.0,187.69134716294337,39.01947472914836,149.49543721749663,77.29523522066133,52.366783317621255,endogenous
0.15,max_acceptance,25.2707018072982,42.9953327367259,0.0,451.81894254881416,11097.804990333225,2783.77120032453,17227.0945827607,8947.06245119231,6276.012379139011,46.33174560374978,10556.490675745516,786.7440398918727,0.0,0.0,0.0,11.343234715637388,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,298.5889541534687,-0.0,-0.0,-0.0,0.2985889541534687,66736.03298390476,14412.190092696675,53091.911647484776,27573.810945380417,19341.94376950892,181.1558894389756,97.2167717153191,24.38583571484292,134.0919884890357,69.64200431200622,48.851126674762256,374.1877269059663,71.38468724965799,5.282464976155001,0.0,0.0,0.0,76.66715222581298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9640634170349373,0.0,0.0,0.0,0.9640634170349373,0.0,0.0,0.0,0.0,0.0,180.6817406264616,39.01947536646061,143.74215261368823,74.65391277241059,52.366783317621255,endogenous
0.15,min_acceptance,25.2707018072982,42.9953327367259,0.0,451.81894254881416,11097.804990333225,2783.77120032453,17227.0945827607,8947.06245119231,6276.012379139011,46.33174560374978,10556.490675745516,786.7440398918726,0.0,0.0,0.0,11.343234715637388,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,298.58895415346905,-0.0,-0.0,-0.0,0.2985889541534691,66736.03298390476,14412.19009269666,53091.911647484776,27573.810945380417,19341.94376950892,181.1558894389756,97.2167717153191,24.38583571484292,134.0919884890357,69.64200431200622,48.851126674762256,374.1877269059663,71.38468724965799,5.282464976154994,0.0,0.0,0.0,76.66715222581298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9640634170349376,0.0,0.0,0.0,0.9640634170349376,0.0,0.0,0.0,0.0,0.0,180.6817406264616,39.01947536646057,143.74215261368823,74.65391277241059,52.366783317621255,endogenous
0.2,max_acceptance,25.536691952768223,45.31328345772775,0.0,451.66346621277887,11097.804990333225,2783.77120032453,17227.094582760692,8947.062451192314,6789.241614396004,46.84497483900677,10556.49067574552,886.9909832627437,0.0,0.0,-0.0,11.443481659008263,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,744.0286643760857,0.7440286643760856,-0.0,137.9910830166838,-0.0,-0.0,1844.135265973773,1.9821263489904568,66736.03298390479,17166.08064408567,53091.91164748473,27573.81094538044,-0.0,164.56783622085564,97.2167717153191,24.38583571484292,134.0919884890358,69.64200431200621,46.46628243223061,371.8028826634346,71.38468724965807,5.8302079112920175,0.0,0.0,0.0,77.21489516095009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1083276762425319,0.1083276762425319,0.0,0.4412328762883938,0.0,0.0,2.096127835863194,2.5373607121515875,0.0,0.0,0.0,0.0,0.0,180.68174062646167,46.47500462659284,143.74215261368812,74.65391277241065,0.0030997902992127,endogenous
0.2,min_acceptance,25.52626861010591,44.98507672020083,0.012932598451649,451.6655651546941,11097.804990333225,2783.77120032453,17227.094582760692,8947.062451192314,6789.241614396004,46.84497483900677,10556.49067574552,905.591538651236,0.0,0.0,-0.0,11.462082214396755,-0.0,-0.0,-0.0,-0.0,214.62454964372887,0.2146245496437288,-0.0,-0.0,-0.0,-0.0,692.392704748489,0.6923927047484889,-0.0,112.3721497411189,-0.0,-0.0,1681.1466759576406,1.7935188256987595,66736.03298390479,17486.33826504975,53091.91164748473,27573.81094538044,-0.0,164.8880938418197,97.2167717153191,24.38583571484292,134.0919884890358,69.64200431200621,46.46628243223061,371.8028826634346,71.38468724965807,5.919802388744243,0.0,0.0,0.0,77.30448963840232,0.0,0.0,0.0,0.0,0.0589009434431542,0.0589009434431542,0.0,0.0,0.0,0.0,0.0970194010840882,0.0970194010840882,0.0,0.3537373407514241,0.0,0.0,2.0485351675784838,2.4022725083299075,0.0,0.0,0.0,0.0,0.012932598451649,180.68174062646167,47.3420282520099,143.74215261368812,74.65391277241065,0.0030911630132658,endogenous
