year,weather_year,epsilon,alternative,objective,total_cost_eur,co2_emissions_t,renewable_share,solar_capacity_mw,onwind_capacity_mw
2045,2023,0.05,1,solar_capacity,-57235407.473102905,14914556.137762783,0.9977529953419321,359999.9999999999,280000.0
2045,2023,0.05,2,onwind_capacity,-150422604.00722423,14916371.345246077,0.9978730043747963,359999.9999999999,280000.0
2045,2023,0.05,3,storage_capacity,-1109458032.9098148,15281288.666603781,0.9961858296587889,359999.9999999999,280000.0
2045,2023,0.05,4,total_renewable,-146746617.01112375,16932506.667970598,0.9879151796657291,359999.9999999999,280000.0
2045,2023,0.05,5,minimize_cost,-751876700.6844509,17258844.102562077,0.9862796202078193,359999.9999999999,280000.0
2045,2023,0.1,1,solar_capacity,-57235407.73083048,14929790.501148377,0.9977284642652683,359999.9999999999,280000.0
2045,2023,0.1,2,onwind_capacity,-150422606.6522345,14927793.013178322,0.9978696760876006,359999.9999999999,280000.0
2045,2023,0.1,3,storage_capacity,-1109411267.426451,15222932.763665928,0.9964725981591638,359999.9999999999,280000.0
2045,2023,0.1,4,total_renewable,-146712201.0508274,16947057.859594695,0.9878376925532741,359999.9999999999,280000.0
2045,2023,0.1,5,minimize_cost,-1067194951.4625018,17168152.577853307,0.9867791123409022,359999.9999999999,280000.0
